metric,value
sample_count,2593
start_date,2016-06-27
end_date,2026-06-15
mean_future_log_return,0.001763867973860717
median_future_log_return,0.002140503822972713
std_future_log_return,0.017198924814772736
min_future_log_return,-0.07817684179028088
max_future_log_return,0.07215468696221031
mean_future_return,0.0019133973645007046
median_future_return,0.0021427963367004477
std_future_return,0.01720941803948302
share_up_zero,0.5665252603162361
share_up_threshold,0.41110682607018895
share_between_zero_and_threshold,0.15541843424604704
q01_future_return,-0.044657282760940414
q05_future_return,-0.026374807175499716
q25_future_return,-0.007829914102771784
q50_future_return,0.0021427963367004477
q75_future_return,0.011702770454456557
q95_future_return,0.029829497629537426
q99_future_return,0.04861527295790914
skew_future_return,-0.08337614450401258
threshold_log_return,0.005
threshold_simple_return_approx,0.005012520859401064
